Model,Horizon,MAE,MSE,RMSE,MAPE,R2,Accuracy
LSTM,3 min,15.471653938293455,338.4819,18.397878646850582,116.16814422607422,-0.563148021697998,46.26
LSTM,5 min,15.700140953063965,350.2786,18.715730667114254,111.630615234375,-0.6112622022628784,47.25
LSTM,8 min,15.815558433532717,356.1876,18.87293243408203,106.95545959472656,-0.6263070106506348,48.32
GRU,3 min,15.755664825439451,352.0277,18.762401580810547,114.08119201660156,-0.6257039308547974,46.71
GRU,5 min,15.952338218688965,362.731,19.04549789428711,109.77822875976562,-0.668542742729187,47.67
GRU,8 min,16.08804702758789,370.286,19.242816925048828,104.12680053710938,-0.6906788349151611,48.99
GraphWaveNet,3 min,11.082162857055664,195.2829,13.974367141723633,220.84544372558597,-0.1905841827392578,31.17
GraphWaveNet,5 min,10.813368797302246,179.7807,13.408233642578123,152.46697998046875,-0.0440481901168823,39.61
GraphWaveNet,8 min,11.673643112182615,201.3735,14.19061279296875,152.76522827148438,-0.1508057117462158,39.56
Transformer,3 min,15.604598999023438,357.6826,18.91249735366389,111.14044189453124,-1.1806881427764893,47.36
Transformer,5 min,17.577587127685547,443.1571,21.051296254022205,97.39571380615234,-1.573564529418945,50.66
Transformer,8 min,18.19285011291504,474.8418,21.790864286609235,87.31717681884766,-1.7136173248291016,53.39
